,id,timestamp,pair,amount0In,amount0Out,amount1In,amount1Out,amountUSD,to,sender,transaction,p_usd,side,flow,tx_id,tx_from
1838,0x90c8b8ddfe56a3089390f75bc3e0af8f09a824253c0c75ef7290880f1e24a0ba-0,2023-04-21 03:04:11,WETH/DED,0.0,0.3405102272757149,429418231.96376646,0.0,661.4811177521187,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,{'id': '0x90c8b8ddfe56a3089390f75bc3e0af8f09a824253c0c75ef7290880f1e24a0ba'},1.5404122799516657e-06,seller,661.4811177521187,0x90c8b8ddfe56a3089390f75bc3e0af8f09a824253c0c75ef7290880f1e24a0ba,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13
1839,0xf43766b0dde5510d6cad1b5d84a0378aab5e3c802809c6a68e55d8901d8c56fd-0,2023-04-21 03:04:11,WETH/DED,0.3293977021083812,0.0,0.0,429418231.96376646,641.251756954951,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,{'id': '0xf43766b0dde5510d6cad1b5d84a0378aab5e3c802809c6a68e55d8901d8c56fd'},1.4933035190947801e-06,buyer,-641.251756954951,0xf43766b0dde5510d6cad1b5d84a0378aab5e3c802809c6a68e55d8901d8c56fd,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13
1840,0x10f00d2edf06473f07df8acf703d41cb4b0063f5f10be957e80c6de43bb82c09-0,2023-04-21 03:04:23,WETH/DED,0.0,0.3,401286047.63619906,0.0,582.924948045325,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,{'id': '0x10f00d2edf06473f07df8acf703d41cb4b0063f5f10be957e80c6de43bb82c09'},1.4526419532377997e-06,seller,582.924948045325,0x10f00d2edf06473f07df8acf703d41cb4b0063f5f10be957e80c6de43bb82c09,0x6FA41f2620a2Fa4189935fe1E81912Cb3Ff3935c
1841,0x2545da77161a953c477c16791f4261709362db9021e078319f5c0d2cf73ba82c-0,2023-04-21 03:04:23,WETH/DED,0.0,1.8345914596290769,2392159475.251997,0.0,3523.1955703385956,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,{'id': '0x2545da77161a953c477c16791f4261709362db9021e078319f5c0d2cf73ba82c'},1.4728096545350313e-06,seller,3523.1955703385956,0x2545da77161a953c477c16791f4261709362db9021e078319f5c0d2cf73ba82c,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13
1842,0x75f75e553cc436694c780c9258c52fc91796bb6c6e9877f38d6efe23f7fd56f9-0,2023-04-21 03:04:23,WETH/DED,0.0,0.7631045748661565,1035927541.7796179,0.0,1477.3685233662823,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,{'id': '0x75f75e553cc436694c780c9258c52fc91796bb6c6e9877f38d6efe23f7fd56f9'},1.4261311373460673e-06,seller,1477.3685233662823,0x75f75e553cc436694c780c9258c52fc91796bb6c6e9877f38d6efe23f7fd56f9,0x4eA6e022bAB46478730854fC62Ba53F0675b71F1
1843,0x87e2dec72ac844740e5fec413bbf77e28ee667c418b8ca0fecbf40dd26628b21-0,2023-04-21 03:04:23,WETH/DED,0.15,0.0,0.0,184447494.33862728,291.59726494702994,0x3a62c6d7f7f4331c488684cf7a56f33b54e24b7a,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,{'id': '0x87e2dec72ac844740e5fec413bbf77e28ee667c418b8ca0fecbf40dd26628b21'},1.5809228853588346e-06,buyer,-291.59726494702994,0x87e2dec72ac844740e5fec413bbf77e28ee667c418b8ca0fecbf40dd26628b21,0x3a62C6D7F7f4331C488684CF7a56F33b54E24B7a
1844,0xabf9b97a28264c0732c10b0a7edf7565d79d983c36d0eb196944b27d86b69472-0,2023-04-21 03:04:23,WETH/DED,0.0,1.2532381349373602,1756614909.6709569,0.0,2416.6030125511684,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,{'id': '0xabf9b97a28264c0732c10b0a7edf7565d79d983c36d0eb196944b27d86b69472'},1.3757158721850074e-06,seller,2416.6030125511684,0xabf9b97a28264c0732c10b0a7edf7565d79d983c36d0eb196944b27d86b69472,0x995f0726Dde4E96E3C1362177A455E9d8ABA6A75
1845,0xbf95aafafecc6ed2e67dd2ba32e90b5098e07a038e7ec3d03377508c6564eb7b-0,2023-04-21 03:04:23,WETH/DED,4.188809413978489,0.0,0.0,5578968160.646137,8407.844914157584,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,{'id': '0xbf95aafafecc6ed2e67dd2ba32e90b5098e07a038e7ec3d03377508c6564eb7b'},1.5070609245391024e-06,buyer,-8407.844914157584,0xbf95aafafecc6ed2e67dd2ba32e90b5098e07a038e7ec3d03377508c6564eb7b,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13
1846,0xe94f622d968d34bd6dc0f50f7819f6d42ece23d6e427d0dda233833218fff2dc-0,2023-04-21 03:04:23,WETH/DED,0.0,2.4794021840420912,3178205806.487692,0.0,4739.0147821419805,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,{'id': '0xe94f622d968d34bd6dc0f50f7819f6d42ece23d6e427d0dda233833218fff2dc'},1.4910975156071388e-06,seller,4739.0147821419805,0xe94f622d968d34bd6dc0f50f7819f6d42ece23d6e427d0dda233833218fff2dc,0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13
1847,0xf176331e4b49ab380c1b3ca32d64dd81f4452a27b06ddf81d11cad5aa70bc070-0,2023-04-21 03:04:23,WETH/DED,0.410055,0.0,0.0,508482178.70198125,798.7050181431297,0xcdfc8f3377bbf5c912d2b031b1691d91fec9ff32,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,{'id': '0xf176331e4b49ab380c1b3ca32d64dd81f4452a27b06ddf81d11cad5aa70bc070'},1.5707630505006283e-06,buyer,-798.7050181431297,0xf176331e4b49ab380c1b3ca32d64dd81f4452a27b06ddf81d11cad5aa70bc070,0xcdfc8F3377bBf5c912D2b031b1691D91Fec9fF32
